Rooms;Living_Space;Price;Address;Building_type;Location;possible_collocation;Transport_Index;Population
3;133;2353;Route de Mollie-Margot 24, 1072 Forel;Apartment;Forel;yes;0,25;2068
4,5;125;3500;Rue du Midi 6, 1009 Pully;Apartment;Pully;yes;1,25;19298
5,5;150;4300;Chemin de Pallin 25, 1009 Pully;Apartment;Pully;yes;1,25;19298
4;110;4440;Chemin de la Colline 25, 1093 Lutry;Apartment;Lutry;yes;1,25;10796
3,5;81;2850;C“tes de la Rosiaz 2, 1009 Pully;Apartment;Pully;yes;1,25;19298
1;111;2270;Route de la Roche 4, 1073 Savigny;Studio;Savigny;no;0,25;3448
3,5;75;2990;Chemin du Signal, 1071 Chexbres;Apartment;Chexbres;yes;0,25;2230
4;147;4510;Route de Taillepied 21-27, 1095 Lutry;Apartment;Lutry;yes;1,25;10796
5;100;2790;Boulevard de la Forit 47, 1009 Pully;Apartment;Pully;yes;1,25;19298
3,5;115;2880;Avenue C.-F. Ramuz 97, 1009 Pully;Apartment;Pully;yes;1,25;19298
2,5;74;1950;Rte de Sallaz 21, 1071 Rivaz;Apartment;Rivaz;yes;0,25;326
2,5;66;2150;Route de Sallaz 21, 1071 Rivaz;Apartment;Rivaz;yes;0,25;326
3,5;80;2520;Jean-Pavillard 16, 1009 Pully;Apartment;Pully;yes;1,25;19298
3,5;75;3600;Chemin du Signal 12, 1070 Puidoux;Apartment;Puidoux;yes;0,25;3012
5,5;174;4600;Fau-Blanc 11, 1009 Pully;Apartment;Pully;yes;1,25;19298
3,5;133;3950;Fau-Blanc 11, 1009 Pully;Apartment;Pully;yes;1,25;19298
3,5;88;2885;Route des Mont-de-Lavaux 460B, 1090 La Croix-sur-Lutry;Apartment;Lutry;yes;1,25;10796
3,5;75;3650;Chemin du Signal, 1071 Chexbres;Apartment;Chexbres;yes;0,25;2230
8;186;4350;Chemin du D‚barcad‚re 4, 1071 Rivaz;Apartment;Rivaz;yes;0,25;326
4,5;129;5100;Chemin du Crit-Ministre 53, 1090 La Croix (Lutry);Apartment;Lutry;yes;1,25;10796
6,5;130;6350;Avenue G‚n‚ral Guisan 34, 1009 Pully;Apartment;Pully;yes;1,25;19298
6,5;180;9500;1096 Cully;Apartment;Cully;yes;0,25;861
3,5;100;3650;R‚sidence 3, 1009 Pully;Apartment;Pully;yes;1,25;19298
3,5;74;2230;Chemin de Ruisselet 20, 1009 Pully;Apartment;Pully;yes;1,25;19298
4,5;79;2290;Chemin de Somais 18, 1009 Pully;Apartment;Pully;yes;1,25;19298
4;93;2425;Chemin de Publoz 36, 1070 Puidoux;Apartment;Puidoux;yes;0,25;3012
2,5;57;2090;Route des Monts-de-Lavaux 3a, 1092 Belmont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
6;180;9500;Route de Lausanne 111, 1096 Cully;Apartment;Cully;yes;0,25;861
7,5;220;7260;Route de Belmont 48, 1093 La Conversion;Apartment;Lutry;yes;1,25;10796
5,5;125;2820;Chemin du Moulin 2, 1083 M‚ziŠres VD;Apartment;M‚ziŠres;yes;0,25;3177
6,5;165;5100;Route de Moratel 14, 1096 Cully;Apartment;Cully;yes;0,25;861
1;42;1040;Route de Mollie-Margot 24, 1072 Forel;Studio;Forel;no;0,25;2068
3,5;94;3850;Chemin de Bellingard 2-4, 1095 Lutry;Apartment;Lutry;yes;1,25;10796
2;48;1690;Prieur‚ 6, 1009 Pully;Apartment;Pully;no;1,25;19298
4,5;140;4200;Chemin de Bellingard 14, 1095 Lutry;Apartment;Lutry;yes;1,25;10796
4,5;100;2530;Place du Nord 6, 1071 Chexbres;Apartment;Chexbres;yes;0,25;2230
6;200;4300;Rte de Pal‚zieux 16, 1610 Oron-la-Ville;Apartment;Oron;yes;0;6173
3,5;71;2650;Rochettaz 34, 1009 Pully;Apartment;Pully;yes;1,25;19298
4,5;130;2380;1083 M‚ziŠres VD;Apartment;M‚ziŠres;yes;0,25;3177
4;114;2480;Chemin du Lac-de-Brit 5, 1070 Puidoux;Apartment;Puidoux;yes;0,25;3012
5,5;170;4250;Chemin des Oisillons 1, 1009 Pully;Apartment;Pully;yes;1,25;19298
4,5;129;4590;Chemin de la Jaque, 1095 Lutry;Apartment;Lutry;yes;1,25;10796
5,5;173;5715;Chemin de Rennier 30, 1009 Pully;Apartment;Pully;yes;1,25;19298
6,5;160;3015;Chemin de Villars 23, 1092 Belmont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;95;3075;Ruelle du Croset 10, 1009 Pully;Apartment;Pully;yes;1,25;19298
4;116;3650;Chemin des Ramiers 20, 1009 Pully;Apartment;Pully;yes;1,25;19298
5;129;3650;1092 Belmont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;98;2890;Chemin de Fontanettaz 19, 1009 Pully;Apartment;Pully;yes;1,25;19298
4,5;114;3070;Chemin de Fontanettaz 19, 1009 Pully;Apartment;Pully;yes;1,25;19298
4,5;114;3050;Chemin de Fontanettaz 19, 1009 Pully;Apartment;Pully;yes;1,25;19298
4;84;3280;Avenue de Lavaux 26, 1009 Pully;Apartment;Pully;yes;1,25;19298
5;127;3050;Chemin de Fantaisie 1A, 1009 Pully;Apartment;Pully;yes;1,25;19298
4,5;150;4350;1092 Belmont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
6,5;221;3260;1072 Forel (Lavaux);Apartment;Forel;yes;0,25;2068
3;133;2797;1072 Forel (Lavaux);Apartment;Forel;yes;0,25;2068
3,5;70;2488;1094 Paudex;Apartment;Paudex;yes;1,25;1538
3,5;68;3500;Chemin de Prahis 30, 1091 Grandvaux;Apartment;Grandvaux;yes;1,25;91
5,5;115;2550;Route de la Claie-aux-Moines 5, 1073 Savigny;Apartment;Savigny;yes;0,25;3448
4;102;2246;Chemin du Lac-de-Brit 5, 1070 Puidoux;Apartment;Puidoux;yes;0,25;3012
1,5;48;1352;Chemin de l' Ancien-Tram 4, 1083 M‚ziŠres VD;Apartment;M‚ziŠres;no;0,25;3177
5,5;170;4250;1009 Pully;Apartment;Pully;yes;1,25;19298
3,5;81;1885;Route de Lausanne 15, 1610 Oron-la-Ville;Apartment;Oron;yes;0;6173
3,5;90;3400;Route du Burenoz 41, 1092 Belmont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;70;1700;Ch. de la Bioleyre 8, 1078 Essertes;Apartment;Oron;yes;1;6173
3,5;94;2205;Chemin de Margerol 2, 1009 Pully;Apartment;Pully;yes;1,25;19298
3;71;1990;Chemin des Osches 47, 1009 Pully;Apartment;Pully;yes;1,25;19298
5;122;3085;Chemin du Ruisselet 15, 1009 Pully;Apartment;Pully;yes;1,25;19298
4,5;139;7700;1009 Pully;Apartment;Pully;yes;1,25;19298
2,5;66;2150;1071 Rivaz;Apartment;Rivaz;yes;0,25;326
2,5;74;1950;1071 Rivaz;Apartment;Rivaz;yes;0,25;326
4,5;116;3615;1009 Pully;Apartment;Pully;yes;1,25;19298
4,5;125;3950;1009 Pully;Apartment;Pully;yes;1,25;19298
3,5;107;2190;Route de la Claie-aux-Moines 5, 1073 Savigny;Apartment;Savigny;yes;0,25;3448
2;59;1890;Route de la Claie-aux-Moines 7a, 1073 Savigny;Apartment;Savigny;no;0,25;3448
3;90;2730;Route de la Claie-aux-Moines 7a, 1073 Savigny;Apartment;Savigny;yes;0,25;3448
3;91;2630;Route de la Claie-aux-Moines 7a, 1073 Savigny;Apartment;Savigny;yes;0,25;3448
4,5;160;3900;bellinguard 14, 1095 Lutry;Apartment;Lutry;yes;1,25;10796
